date,close_raw,high_raw,low_raw,open_raw,volume_raw,vix,ret1,ema_10,z_close_20,vix_z_20,close,finbert_pos,finbert_neg,tb_polarity,tb_subjectivity,headlines_count
2025-10-07,6714.589844,6754.490234,6699.959961,6746.140137,5546150000,17.23999977,-0.003811406,6691.185364,1.156433442,1.834628352,6714.589844,0.478744761,0.521255239,0.046897798,0.621811375,11
2025-10-08,6753.720215,6755.640137,6718.089844,6723.870117,5383130000,16.29999924,0.005827664,6702.555337,1.749114331,0.366304687,6753.720215,0.529478777,0.470521223,0.061366415,0.418177761,24
2025-10-09,6735.109863,6764.580078,6716.169922,6760.5,5385020000,16.43000031,-0.00275557,6708.474342,1.27018828,0.493371782,6735.109863,0.239928979,0.760071021,0.013770509,0.78306925,13
2025-10-10,6552.509766,6762.399902,6550.779785,6740.490234,6596610000,21.65999985,-0.027111673,6680.117146,-2.073493265,3.961203503,6552.509766,0.554965268,0.445034732,-0.187290437,0.777468377,5
2025-10-13,6654.720215,6668.680176,6620.709961,6622.529785,5303960000,19.03000069,0.015598672,6675.499522,-0.267356341,1.685875785,6654.720215,0.468375311,0.531624689,-0.146054287,0.351069377,12
2025-10-14,6644.310059,6680.700195,6555.069824,6602.490234,5666920000,20.80999947,-0.001564327,6669.828711,-0.5103109,2.336075052,6644.310059,0.664775581,0.335224419,-0.184285407,0.498349104,11
2025-10-15,6671.060059,6724.120117,6612.109863,6688.27002,5633060000,20.63999939,0.004026001,6670.052592,-0.07092667,1.894697612,6671.060059,0.551081529,0.448918471,0.118205206,0.380526986,22
2025-10-16,6629.069824,6709.339844,6593.990234,6689.02002,6048180000,25.30999947,-0.006294387,6662.60118,-0.91056996,2.995648294,6629.069824,0.486726413,0.513273587,-0.042822009,0.370904297,12
2025-10-17,6664.009766,6678.879883,6603.759766,6613.27002,5358120000,20.78000069,0.005270716,6662.857286,-0.208965643,1.112569068,6664.009766,0.48309005,0.51690995,0.054285346,0.222132168,5
2025-10-20,6735.129883,6744.350098,6690.049805,6690.049805,4672170000,18.22999954,0.010672271,6675.997758,1.138486269,0.096564852,6735.129883,0.404644149,0.595355851,0.253783237,0.5657386,15
2025-10-21,6735.350098,6752.160156,6722.029785,6736.75,5245020000,17.87000084,3.27e-05,6686.789093,1.038434257,-0.067395567,6735.350098,0.350862561,0.649137439,-0.075353885,0.501607414,32
2025-10-22,6699.399902,6741.75,6655.689941,6741.339844,5710010000,18.60000038,-0.005337539,6689.081967,0.305555043,0.172955409,6699.399902,0.478151051,0.521848949,0.005191462,0.230887251,29
2025-10-23,6738.439941,6749.529785,6700.140137,6703.649902,5565750000,17.29999924,0.005827393,6698.056144,0.965693802,-0.355148542,6738.439941,0.399522421,0.600477579,0.177775569,0.367187879,29
2025-10-24,6791.689941,6807.109863,6772.069824,6772.069824,5058220000,16.37000084,0.007902423,6715.080471,1.757008609,-0.763783415,6791.689941,0.639956485,0.360043515,-0.085600917,0.744959532,22
2025-10-27,6875.160156,6877.279785,6843.939941,6845.459961,5290650000,15.78999996,0.012290051,6744.185868,2.533499851,-0.986798971,6875.160156,0.4586881,0.5413119,-0.161510045,0.343737134,27
2025-10-28,6890.890137,6911.299805,6870.72998,6897.740234,5695930000,16.42000008,0.002287944,6770.859372,2.23326783,-0.736412342,6890.890137,0.579964797,0.420035203,-0.055124274,0.286936923,34
2025-10-29,6890.589844,6920.339844,6851.910156,6910.950195,6280130000,16.92000008,-4.36e-05,6792.628548,1.892475903,-0.551402722,6890.589844,0.340354949,0.659645051,-0.119389356,0.493671656,14
2025-10-30,6822.339844,6880.75,6820.689941,6860.5,6052700000,16.90999985,-0.009904812,6798.030602,1.009931187,-0.563319007,6822.339844,0.412907689,0.587092311,0.264848826,0.791390272,7
2025-10-31,6840.200195,6879.169922,6814.259766,6879.169922,6398280000,17.44000053,0.002617922,6805.697801,1.103063377,-0.365086081,6840.200195,0.359829305,0.640170695,0.20406019,0.345233163,11
2025-11-03,6851.970215,6882.319824,6820.620117,6882.319824,6065720000,17.17000008,0.001720713,6814.110967,1.128405408,-0.499253966,6851.970215,0.796260729,0.203739271,0.116701878,0.603281328,32
2025-11-04,6771.549805,6820.209961,6766.709961,6788.52002,5739510000,19.0,-0.01173683,6806.372574,0.254247218,0.232052076,6771.549805,0.239190126,0.760809874,0.235730295,0.656971769,20
2025-11-05,6796.290039,6829.779785,6763.109863,6769.77002,5939600000,18.01000023,0.003653556,6804.539386,0.488712977,-0.225761524,6796.290039,0.201824067,0.798175933,0.201836038,0.342582526,30
2025-11-06,6720.319824,6796.680176,6707.509766,6787.589844,6051900000,19.5,-0.011178189,6789.226738,-0.296342769,0.356475221,6720.319824,0.516656278,0.483343722,-0.106714971,0.636929809,20
2025-11-07,6728.799805,6730.109863,6631.439941,6696.180176,5926070000,19.07999992,0.001261842,6778.240023,-0.340985969,0.239953929,6728.799805,0.508752702,0.491247298,0.246279499,0.42066988,29
2025-11-10,6832.430176,6841.319824,6770.560059,6785.359863,5366050000,17.60000038,0.015401019,6788.092778,0.801817343,-0.407398434,6832.430176,0.777334072,0.222665928,0.069671121,0.579383498,24
2025-11-11,6846.609863,6855.129883,6806.870117,6815.640137,4983490000,17.28000069,0.002075351,6798.732248,0.888375958,-0.485708943,6846.609863,0.444682705,0.555317295,0.203720078,0.580117826,32
2025-11-12,6850.919922,6869.910156,6829.620117,6867.77002,5293610000,17.51000023,0.000629517,6808.220916,0.855543053,-0.313432332,6850.919922,0.467512342,0.532487658,0.24804565,0.52146481,21
2025-11-13,6737.490234,6828.049805,6724.720215,6826.470215,5473720000,20.0,-0.016556855,6795.360792,-0.785369747,1.649176742,6737.490234,0.417099483,0.582900517,-0.040998263,0.254173862,6
2025-11-14,6734.109863,6774.310059,6646.870117,6672.140137,5042660000,19.82999992,-0.000501726,6784.22426,-0.960951232,1.68389515,6734.109863,0.403090715,0.596909285,-0.144974038,0.701181497,5
2025-11-17,6672.410156,6754.5,6638.899902,6713.609863,5204220000,22.37999916,-0.009162266,6763.894423,-1.766002438,2.781001749,6672.410156,0.350378279,0.649621721,-0.086032419,0.392468039,20
2025-11-18,6617.319824,6666.629883,6574.319824,6641.189941,5159390000,24.69000053,-0.008256437,6737.244496,-2.183624011,2.930244529,6617.319824,0.715609766,0.284390234,0.013553894,0.311911106,34
